"","Closeness.bool","Betweenness.bool","Degree.bool","Eigenvector.bool","Overlap.bool","Keyplay.bool","ego","q1.profession.df.vq","q2a.currently.working.vq","q2b.how.long.work.vq","q2c.when.leave.work.vq","q3.rate.econ.conditions.vq","q4.rate.env.conditions.vq","q5.rate.comm.agencies.vq","q6a.attended.GADNR.mtg.vq","q6b.GADNR.mtg.topic.vq","q6c.GADNR.why.not.mtg.vq","q7a.primary.dock.vq","q7b.active.dock.relationship.vq","q7c.time.worked.w.dock.vq","q7d.ended.dock.relationship.vq","q8a.observed.decline.harvest.vq","q8b.harvest.decline.location.vq","q8c.still.fish.decline.locations.vq","q9a.harvest.multiple.sp.vq","q9b.sell.to.single.dock.vq","q9c.earned.per.species.vq","q9d.why.sell.multiple.docks.vq","q10.docks.difficulty.selling.vq","q11a.change.docks.vq","q11b.change.docks.explain.vq","q11c.change.docks.freq.vq","q12a.decline.in.catch.vq","q12b.explain.decline.vq","q12c.which.spp.decline.vq","q12d.severity.decline.vq","q13a.decline.affect.business.vq","q13b.severity.decline.business.vq","q14.agency.mtg.attend.vq","q15.folks.contact.gvmt.vq","q15b.name.folks.contact.gvmt.vq","q15c.name.agencies.contacted.vq","q15d.reasons.agency.contact.vq","q16a.attendance.mtg.beneficial.vq","q16b.attendance.mtg.expl.vq","q17.agencies.helpful.vq","q18.agencies.not.helpful.vq","q19.probs.agencies.could.solve.vq","q20a.should.orgs.do.more.vq","q20b.how.should.orgs.help.vq","q21.reg.change.open.water.May15.vq","q22.reg.change.close.water.Dec31.vq","q23.reg.change.open.sounds.vq","q24.blackgill.change.fishing.vq","q25a.blackgill.concern.dockmates.vq","q25b.blackgill.concern.dockmates.strength.vq","q26a.seen.blackgill.vq","q26b.where.seen.blackgill.vq"
"11",0,0,0,0,0,0,"Chacon, Julissa","Commercial fisherman","No","N/A","Open Response","Very good","Pressing","Very Poor","No","N/A","Open Response","Piedmont Dock","No","N/A","23","Yes","Between St. Simons Island and Sapelo Island","Yes","Yes","No","N/A","Open response","Yes","Yes","Open response","Very often (change dock 1 or more times/month)","No","N/A","N/A","N/A","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Yes","Name of dock/fisher","Georgia Department of Natural Resources","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Unlikely","Unlikely","Unlikely","Very significantly","Yes","Somewhat strong","Yes","Between St. Simons Island and Jekyll Island"
"12",0,0,0,0,0,0,"Davis, Josiah","Commercial fisherman","Yes","18","N/A","Very Poor","Moderately pressing","Fair","Yes","Open Response","N/A","South GA Dock","No","N/A","16","Yes","North of Savannah","No","Yes","Yes","Open response","N/A","No","No","Open response","Rarely (change dock 1 time per 9 months","No","N/A","N/A","N/A","Yes","Not severe","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Other (please insert)","Reasons for contacting agency","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Other (please insert)","Problems agencies could help solve","No","N/A","Likely","Unlikely","Very unlikely","Neither significant or insignificant","Yes","Very strong","Yes","Between Sapelo Island and Savannah"
"13",0,0,0,0,0,0,"Lee, Brittany","Commercial fisherman","No","N/A","Open Response","Poor","Moderately pressing","Good","No","N/A","Open Response","Brunswick Dock","No","N/A","24","Yes","Between St. Simons Island and Jekyll Island","Yes","No","N/A","N/A","N/A","Yes","No","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","No","N/A","Other (please insert)","Yes","Name of dock/fisher","Georgia Shrimping Association (Wild Georgia Shrimp)","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Sea Grant","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Very unlikely","Very unlikely","Neither likely nor unlikely","Neither significant or insignificant","No","N/A","No","N/A"
"14",0,0,0,0,0,0,"Perez, Karen","Commercial fisherman","No","N/A","Open Response","Poor","Slightly pressing","Very good","No","N/A","Open Response","St. Simons Dock","No","N/A","10","No","N/A","N/A","Yes","Yes","Open response","N/A","Yes","No","Open response","Rarely (change dock 1 time per 9 months","Yes","Harvest decline explanation","Declining species","Very not severe","Yes","Severe","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","No","N/A","Southern Shrimp Alliance","Georgia Shrimping Association (Wild Georgia Shrimp)","Problems agencies could help solve","Yes","Help suggestions","Likely","Neither likely nor unlikely","Unlikely","Very significantly","No","N/A","Yes","North of Savannah"
"15",0,0,0,0,0,0,"Rohrbouck, Caleb","Dock and fish house","No","N/A","Open Response","Poor","Very pressing","Fair","Yes","Open Response","N/A","Jekyll Dock","No","N/A","20","No","N/A","N/A","No","N/A","N/A","N/A","Yes","No","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Neither","Yes","Neither","Southern Shrimp Alliance","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Other (please insert)","Southern Shrimp Alliance","Problems agencies could help solve","No","N/A","Very unlikely","Likely","Neither likely nor unlikely","Significantly","No","N/A","No","N/A"
"16",0,0,0,0,0,0,"Powell, Vashti","Commercial fisherman","No","N/A","Open Response","Fair","Slightly pressing","Good","Yes","Open Response","N/A","Jekyll Dock","Yes","8","N/A","No","N/A","N/A","No","N/A","N/A","N/A","No","No","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","No","N/A","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","No","N/A","Southern Shrimp Alliance","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Neither likely nor unlikely","Very unlikely","Very likely","Very significantly","Yes","Not very strong","No","N/A"
"17",0,0,0,0,0,0,"Martinez, Daniel","Commercial fisherman","Yes","26","N/A","Fair","Not pressing","Very Poor","Yes","Open Response","N/A","Savannah Dock","Yes","0","N/A","Yes","North of Savannah","Yes","No","N/A","N/A","N/A","Yes","No","Open response","Very often (change dock 1 or more times/month)","Yes","Harvest decline explanation","Declining species","Severe","No","N/A","Georgia Sea Grant","Yes","Name of dock/fisher","Other (please insert)","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Department of Natural Resources","Georgia Sea Grant","Problems agencies could help solve","No","N/A","Neither likely nor unlikely","Unlikely","Neither likely nor unlikely","Significantly","No","N/A","Yes","Between Sapelo Island and Savannah"
"18",0,0,0,0,0,0,"Marick, Joseph","Dock and fish house","Yes","25","N/A","Poor","Slightly pressing","Good","No","N/A","Open Response","St. Simons Dock","No","N/A","12","No","N/A","N/A","No","N/A","N/A","N/A","Yes","No","Open response","Very often (change dock 1 or more times/month)","Yes","Harvest decline explanation","Declining species","Very severe","Yes","Very not severe","Other (please insert)","Yes","Name of dock/fisher","Georgia Shrimping Association (Wild Georgia Shrimp)","Reasons for contacting agency","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Very likely","Unlikely","Unlikely","Very insignificantly","No","N/A","No","N/A"
"19",0,0,0,0,0,0,"Sanders, Derrick","Commercial crabbers or dealer","No","N/A","Open Response","Very good","Very pressing","Very good","Yes","Open Response","N/A","Savannah Dock","No","N/A","14","Yes","South of Jekyll Island","Yes","Yes","No","N/A","Open response","Yes","No","Open response","Occasionally (change dock about 1 time/6 months","No","N/A","N/A","N/A","Yes","Severe","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Sea Grant","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Very unlikely","Very likely","Likely","Neither significant or insignificant","No","N/A","Yes","North of Savannah"
"20",0,0,0,0,0,0,"Gomez, Levi","Shellfish gatherer","Yes","8","N/A","Very good","Moderately pressing","Poor","Yes","Open Response","N/A","South GA Dock","Yes","19","N/A","Yes","Between Sapelo Island and Savannah","No","Yes","Yes","Open response","N/A","No","Yes","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","No","N/A","Other (please insert)","Yes","Name of dock/fisher","Georgia Sea Grant","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Department of Natural Resources","Georgia Sea Grant","Problems agencies could help solve","No","N/A","Likely","Very unlikely","Likely","Significantly","Yes","Somewhat strong","No","N/A"
"21",0,0,0,0,0,0,"Martin, Cody","Commercial fisherman","No","N/A","Open Response","Very Poor","Very pressing","Good","No","N/A","Open Response","Savannah Dock","No","N/A","1","No","N/A","N/A","No","N/A","N/A","N/A","No","Yes","Open response","Rarely (change dock 1 time per 9 months","Yes","Harvest decline explanation","Declining species","Not severe","No","N/A","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Georgia Department of Natural Resources","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Department of Natural Resources","Georgia Department of Natural Resources","Problems agencies could help solve","No","N/A","Unlikely","Very likely","Very unlikely","Significantly","No","N/A","No","N/A"
"22",0,0,0,0,0,0,"Mmorosa, Anthony","Commercial fisherman","No","N/A","Open Response","Very good","Pressing","Very good","Yes","Open Response","N/A","South GA Dock","No","N/A","17","No","N/A","N/A","Yes","Yes","Open response","N/A","No","Yes","Open response","Rarely (change dock 1 time per 9 months","No","N/A","N/A","N/A","Yes","Not severe","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Other (please insert)","Reasons for contacting agency","No","N/A","Georgia Department of Natural Resources","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Unlikely","Likely","Likely","Significantly","Yes","Not very strong","Yes","Between Sapelo Island and Savannah"
"23",0,0,0,0,0,0,"Gonzales, Stephanie","Commercial fisherman","Yes","40","N/A","Very Poor","Not pressing","Poor","Yes","Open Response","N/A","Derrien Dock","No","N/A","2","Yes","Between St. Simons Island and Jekyll Island","Yes","No","N/A","N/A","N/A","No","Yes","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","No","N/A","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Shrimping Association (Wild Georgia Shrimp)","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Very unlikely","Unlikely","Very likely","Insignificantly","No","N/A","No","N/A"
"24",0,0,0,0,0,0,"Steine, Kassidy","Commercial fisherman","Yes","32","N/A","Fair","Pressing","Poor","No","N/A","Open Response","St. Simons Dock","Yes","13","N/A","No","N/A","N/A","No","N/A","N/A","N/A","Yes","Yes","Open response","Very often (change dock 1 or more times/month)","No","N/A","N/A","N/A","No","N/A","Southern Shrimp Alliance","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Department of Natural Resources","Other (please insert)","Problems agencies could help solve","No","N/A","Very unlikely","Unlikely","Likely","Very insignificantly","Yes","Very strong","Yes","North of Savannah"
"25",0,0,0,0,0,0,"Gregg, Shavawn","Shellfish gatherer","Yes","24","N/A","Very Poor","Very pressing","Good","No","N/A","Open Response","St. Simons Dock","No","N/A","0","No","N/A","N/A","Yes","No","N/A","Open response","Yes","No","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Neither","No","N/A","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Shrimping Association (Wild Georgia Shrimp)","Georgia Sea Grant","Problems agencies could help solve","Yes","Help suggestions","Likely","Very unlikely","Likely","Very insignificantly","Yes","Not very strong","No","N/A"
"26",0,0,0,0,0,0,"Perez, Lizeth","Commercial crabbers or dealer","Yes","27","N/A","Poor","Pressing","Poor","No","N/A","Open Response","St. Simons Dock","Yes","17","N/A","Yes","Between St. Simons Island and Sapelo Island","No","No","N/A","N/A","N/A","No","Yes","Open response","Often (change dock 1 time/3 months)","No","N/A","N/A","N/A","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Yes","Name of dock/fisher","Georgia Department of Natural Resources","Reasons for contacting agency","No","N/A","Georgia Department of Natural Resources","Georgia Sea Grant","Problems agencies could help solve","No","N/A","Neither likely nor unlikely","Very unlikely","Neither likely nor unlikely","Insignificantly","No","N/A","No","N/A"
"27",0,0,0,0,0,0,"Engleby, Taran","Commercial fisherman","Yes","36","N/A","Poor","Not pressing","Good","No","N/A","Open Response","Savannah Dock","No","N/A","11","Yes","North of Savannah","Yes","No","N/A","N/A","N/A","Yes","No","Open response","Rarely (change dock 1 time per 9 months","No","N/A","N/A","N/A","Yes","Not severe","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Other (please insert)","Reasons for contacting agency","Yes","Benefit from attendance explained","Southern Shrimp Alliance","Southern Shrimp Alliance","Problems agencies could help solve","Yes","Help suggestions","Unlikely","Neither likely nor unlikely","Unlikely","Neither significant or insignificant","No","N/A","Yes","Between Sapelo Island and Savannah"
"28",0,0,0,0,0,0,"Stevison, Jayla","Shellfish gatherer","No","N/A","Open Response","Good","Not pressing","Very Poor","Yes","Open Response","N/A","Piedmont Dock","No","N/A","18","No","N/A","N/A","Yes","Yes","Open response","N/A","Yes","No","Open response","Occasionally (change dock about 1 time/6 months","No","N/A","N/A","N/A","No","N/A","Southern Shrimp Alliance","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Other (please insert)","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Likely","Very unlikely","Neither likely nor unlikely","Very insignificantly","No","N/A","Yes","Between St. Simons Island and Sapelo Island"
"29",0,0,0,0,0,0,"Litwiller, Matthew","Commercial fisherman","Yes","3","N/A","Good","Very pressing","Very Poor","Yes","Open Response","N/A","Savannah Dock","No","N/A","3","No","N/A","N/A","Yes","No","N/A","Open response","Yes","Yes","Open response","Often (change dock 1 time/3 months)","No","N/A","N/A","N/A","Yes","Severe","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Shrimping Association (Wild Georgia Shrimp)","Other (please insert)","Problems agencies could help solve","No","N/A","Very likely","Very unlikely","Very unlikely","Very insignificantly","No","N/A","No","N/A"
"30",0,0,0,0,0,0,"Fish, Kendall","Dock and fish house","Yes","9","N/A","Poor","Very pressing","Very good","Yes","Open Response","N/A","Brunswick Dock","No","N/A","19","No","N/A","N/A","No","N/A","N/A","N/A","Yes","No","Open response","Very often (change dock 1 or more times/month)","No","N/A","N/A","N/A","No","N/A","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Georgia Sea Grant","Reasons for contacting agency","No","N/A","Georgia Department of Natural Resources","Southern Shrimp Alliance","Problems agencies could help solve","No","N/A","Likely","Likely","Very likely","Very significantly","Yes","Very strong","Yes","South of Jekyll Island"
"31",0,0,0,0,0,0,"Willingham, Aspen","Commercial fisherman","No","N/A","Open Response","Very Poor","Pressing","Very good","Yes","Open Response","N/A","Piedmont Dock","No","N/A","5","No","N/A","N/A","No","N/A","N/A","N/A","No","Yes","Open response","Very often (change dock 1 or more times/month)","No","N/A","N/A","N/A","No","N/A","Southern Shrimp Alliance","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Shrimping Association (Wild Georgia Shrimp)","Southern Shrimp Alliance","Problems agencies could help solve","Yes","Help suggestions","Likely","Likely","Neither likely nor unlikely","Significantly","No","N/A","Yes","Between St. Simons Island and Jekyll Island"
"32",0,0,0,0,0,0,"Garcia, Anahi","Commercial fisherman","Yes","17","N/A","Fair","Pressing","Poor","Yes","Open Response","N/A","Jekyll Dock","No","N/A","13","Yes","North of Savannah","No","Yes","Yes","Open response","N/A","Yes","Yes","Open response","Very often (change dock 1 or more times/month)","No","N/A","N/A","N/A","Yes","Not severe","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Other (please insert)","Reasons for contacting agency","Yes","Benefit from attendance explained","Other (please insert)","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Unlikely","Likely","Unlikely","Insignificantly","No","N/A","Yes","Between Sapelo Island and Savannah"
"33",0,0,0,0,0,0,"Biolchini, Dylan","Commercial fisherman","No","N/A","Open Response","Poor","Very pressing","Good","Yes","Open Response","N/A","Jekyll Dock","No","N/A","8","No","N/A","N/A","No","N/A","N/A","N/A","Yes","No","Open response","Often (change dock 1 time/3 months)","No","N/A","N/A","N/A","Yes","Very not severe","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Georgia Shrimping Association (Wild Georgia Shrimp)","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Shrimping Association (Wild Georgia Shrimp)","Georgia Shrimping Association (Wild Georgia Shrimp)","Problems agencies could help solve","Yes","Help suggestions","Neither likely nor unlikely","Likely","Unlikely","Significantly","No","N/A","No","N/A"
"34",0,0,0,0,0,0,"Turner, Kyandra","Commercial fisherman","Yes","28","N/A","Very good","Not pressing","Very Poor","No","N/A","Open Response","Jekyll Dock","No","N/A","22","Yes","South of Jekyll Island","No","No","N/A","N/A","N/A","Yes","Yes","Open response","Occasionally (change dock about 1 time/6 months","No","N/A","N/A","N/A","No","N/A","Southern Shrimp Alliance","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Georgia Sea Grant","Problems agencies could help solve","Yes","Help suggestions","Unlikely","Unlikely","Unlikely","Neither significant or insignificant","Yes","Not very strong","No","N/A"
"35",0,0,0,0,0,0,"Cooper, Fatima","Commercial fisherman","No","N/A","Open Response","Fair","Very pressing","Very Poor","No","N/A","Open Response","Savannah Dock","Yes","24","N/A","No","N/A","N/A","Yes","No","N/A","Open response","No","Yes","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","Yes","Neither","Southern Shrimp Alliance","Yes","Name of dock/fisher","Georgia Sea Grant","Reasons for contacting agency","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Very likely","Unlikely","Likely","Significantly","No","N/A","No","N/A"
"36",0,0,0,0,0,0,"Marshall, Lauren","Commercial crabbers or dealer","No","N/A","Open Response","Fair","Moderately pressing","Good","No","N/A","Open Response","South GA Dock","No","N/A","21","Yes","Between St. Simons Island and Sapelo Island","No","No","N/A","N/A","N/A","Yes","No","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Not severe","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Yes","Name of dock/fisher","Georgia Department of Natural Resources","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Georgia Department of Natural Resources","Problems agencies could help solve","No","N/A","Very unlikely","Very unlikely","Very unlikely","Significantly","No","N/A","Yes","Between St. Simons Island and Jekyll Island"
"37",0,0,0,0,0,0,"Wells, Natnael","Commercial crabbers or dealer","Yes","13","N/A","Good","Not pressing","Good","Yes","Open Response","N/A","Jekyll Dock","No","N/A","23","Yes","North of Savannah","Yes","Yes","No","N/A","Open response","No","No","Open response","Rarely (change dock 1 time per 9 months","No","N/A","N/A","N/A","No","N/A","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Neither likely nor unlikely","Likely","Very likely","Neither significant or insignificant","Yes","Not very strong","No","N/A"
"38",0,0,0,0,0,0,"Payan, Bianca","Commercial fisherman","No","N/A","Open Response","Very Poor","Not pressing","Good","No","N/A","Open Response","St. Simons Dock","Yes","6","N/A","No","N/A","N/A","No","N/A","N/A","N/A","No","Yes","Open response","Rarely (change dock 1 time per 9 months","Yes","Harvest decline explanation","Declining species","Very severe","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Yes","Name of dock/fisher","Georgia Shrimping Association (Wild Georgia Shrimp)","Reasons for contacting agency","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Georgia Sea Grant","Problems agencies could help solve","Yes","Help suggestions","Very unlikely","Likely","Very likely","Neither significant or insignificant","Yes","Somewhat strong","Yes","Between St. Simons Island and Sapelo Island"
