"","ego","alter","alter_type","q1.years.known.eiq","q2.years.worked.with.eiq","q3a.wk.relationship.eiq","q3b.wk.relationship.other.eiq","q4a.work.interaction.freq.eiq","q4b.personal.interaction.freq.eiq","q5a.likely.discuss.env.issues.eiq","q5b.likely.discuss.env.issues.exp.eiq","q6a.likely.discuss.econ.issues.eiq","q6b.likely.discuss.econ.issues.exp.eiq","q7a.likely.discuss.comm.issues.eiq","q7b.likely.discuss.comm.issues.exp.eiq","q8a.likely.discuss.gvmtresources.issues.eiq","q8b.likely.discuss.gvmtresources.issues.exp.eiq","q9a.likely.discuss.fedagency.issues.eiq","q9b.likely.discuss.fedagency.issues.exp.eiq","q10.difficulty.selling.catch.eiq","q11.indiv.contact.agency.eiq","q12a.related.indiv.eiq","q12b.related.descriptor.eiq","q12c.related.descriptor.other.eiq","q13.positive.wk.relationship.eiq","q14.wk.relationship.quality.eiq","q15.sust.industry.contribution.eiq","q16.trust.level.eiq","q17.willingness.to.wk.with.eiq"
"50","Chacon, Julissa","Lopez, Sarahi","Shared-Profession",9,0,"Colleague","N/A","Less than once per month","Weekly",0,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",7,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly agree",5,"Agree",0,7
"51","Chacon, Julissa","Biolchini, Dylan","Shared-Profession",12,9,"Colleague","N/A","Daily","A few times per week",6,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","No","No","Yes","Parent","N/A","Disagree",4,"Agree",6,0
"52","Chacon, Julissa","Stafford, Connor","Shared-Profession",22,2,"Colleague","N/A","Less than once per month","A few times per month",3,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Neither agree nor disagree",3,"Neither agree nor disagree",8,9
"53","Chacon, Julissa","Payan, Bianca","Shared-Profession",17,14,"Colleague","N/A","Weekly","A few times per month",7,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly disagree",5,"Disagree",2,1
"54","Chacon, Julissa","Moncallo, Jaime","Shared-Profession",10,9,"Colleague","N/A","Bi-weekly (every other week)","A few times per month",6,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly agree",3,"Strongly agree",2,2
"55","Davis, Josiah","Flores Ramos, Jasmin","Shared-Profession",20,5,"Colleague","N/A","Weekly","Less than once per month",1,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly agree",0,"Neither agree nor disagree",1,6
"56","Davis, Josiah","Mendoza-Estrada, Maria","Shared-Profession",30,24,"Colleague","N/A","Bi-weekly (every other week)","Weekly",10,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","No","No","Yes","Spouse or partner","N/A","Agree",10,"Strongly disagree",3,5
"57","Davis, Josiah","Gonzales, Dionisio","Shared-Profession",18,6,"Colleague","N/A","Less than once per month","Less than once per month",5,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",7,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","No","No","Yes","Parent","N/A","Agree",3,"Strongly agree",4,6
"58","Davis, Josiah","Castaneda, Robert","Shared-Profession",14,7,"Colleague","N/A","A few times per week","Monthly",5,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","No","No","Yes","Child","N/A","Agree",3,"Strongly agree",9,1
"59","Lee, Brittany","Lange, Jorge","In-Network",14,8,"Employer","N/A","A few times per month","Monthly",1,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","No","No","Yes","Parent","N/A","Strongly agree",4,"Disagree",0,10
"60","Lee, Brittany","Jackson, Abenezer","Shared-Profession",26,21,"Colleague","N/A","Less than once per month","A few times per month",3,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Disagree",4,"Strongly agree",4,6
"61","Lee, Brittany","Panish, Madeline","Shared-Profession",13,6,"Colleague","N/A","A few times per week","Monthly",1,"Explain why (not) discuss environmental issues",5,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Other (please specify)","Explain","Disagree",4,"Disagree",8,1
"62","Lee, Brittany","Martinez, Naomi","Shared-Profession",1,1,"Colleague","N/A","Weekly","Monthly",5,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly agree",2,"Disagree",3,4
"63","Lee, Brittany","Lopez, Sarahi","Shared-Profession",3,0,"Colleague","N/A","A few times per week","Weekly",1,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Child","N/A","Strongly agree",2,"Disagree",8,9
"64","Lee, Brittany","Prejean, Dezmen","Shared-Profession",9,3,"Colleague","N/A","A few times per month","Weekly",9,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Spouse or partner","N/A","Strongly agree",4,"Strongly agree",3,3
"65","Lee, Brittany","Engleby, Taran","Shared-Profession",20,19,"Colleague","N/A","Weekly","A few times per month",6,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Disagree",7,"Disagree",2,8
"66","Lee, Brittany","Izrailev, Megan","Shared-Profession",10,1,"Colleague","N/A","Daily","A few times per week",2,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Child","N/A","Strongly disagree",8,"Neither agree nor disagree",9,4
"67","Lee, Brittany","Delgado, Tania","Shared-Profession",25,23,"Colleague","N/A","Daily","Bi-weekly (every other week)",2,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","No","No","Yes","Child","N/A","Strongly agree",9,"Strongly agree",10,8
